index	smarts
mh237	C(=O)N1CC2CC(C1)ccccc(=O)nC2
mh238	CC(NC=O)C(N)=O
mh239	CC(=O)N1CC2CC(C1)c1cccc(=O)n1C2
mh240	CCCCCCC=O
mh241	c1ccccc1
mh242	OC=NC(CO)Cc(c[nH]1)c2c1cccc2
mh243	CCCC(C)CC(O)CC
mh244	CC(O)=NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
mh245	CC(O)=NCCc1ccccc1
mh246	c1c[nH]c2ccccc12
mh247	C(O)C(=O)CO
mh248	CC=NC(Cc1ccccc1)C(=O)O
mh249	C(O)=NC(Cc(cc)ccc)C(=O)O
mh250	C(Cc(c[nH])c1ccccc1)C(=O)O
mh251	O=C:C:C:O:C1:C:C:C:C(O):C:1
mh252	CC(C)CCCC(C)C
mh253	OC=NC(Cc1ccccc1)CO
mh254	C(=O)CCc1c[nH]c2ccc(O)cc12
mh255	CC1CCCC1C
mh256	COC1:C:C:C:C(:C:1)OC
mh257	ccc(cc)OC
mh258	C(=O)cccccc
mh259	CC(O)=NC(Cc(cc)ccc)C(=O)O
mh260	NC(C(O)=O)Cc(c[nH]c1)c1cc(O)cc
mh261	CC(=O)N1CC2CC(C1)c(cccc=O)nC2
mh262	CCNCCO
mh263	CCN=C(O)COC1:C:C:C2:C:C:C(=O):O:C:2:C:1
mh264	C(O)=NCC1CCCCC1
mh265	NC1CCCC(Cl)C1
mh266	O=CNCC(=O)O
mh267	CC(=O)N1CC2CC(C1)c(c)n(C2)c(=O)cc
mh268	OCc1ccccc1
mh269	CC:C:CCl
mh270	Oc1cc2OC(C)(C)CCc2c2oc(=O)ccc12
mh271	c1oc(=O)cc(CC)c1
mh272	ccc(c)OC
mh273	Oc1ccccc1OC
mh274	CC(=O)N1CCC(CC1)C(=N)O
mh275	Cc1c[nH]c(cccc)c1
mh276	CN1CCN(C)CC1
mh277	CCC(C)CCCC(=O)O
mh278	NCCc(c[nH]1)c2c1cccc2
mh279	C1=CCCCC1
mh280	CC1CC(CN(C1)C=O)c1cccc(=O)n1
mh281	OCC(=O)N1CCCC(C1)Cn1ccccc1=O
mh282	C(Cc1c[nH]cc1cc(O)cc)C(=O)O
mh283	COC1:C:C:C:C:C:1CO
mh284	CC(N)C(O)=NC(C)C(=O)O
mh285	c1ccc(OC)c(c1)OC
mh286	OCN1CC2CC(c3n(C2)cccc3)C1
mh287	OCCF
mh288	CC1CN(CO)CCc(ccc2)n(C1)c2=O
mh289	CN(CC1CCc2cccc(=O)n2C1)C(=O)CO
mh290	CC(O)=NCCC1:C:N:C2:C:C:C(O):C:C:1:2
mh291	NCCCCCO
mh292	CC(N1CC2CC(c3n(C2)cccc3)C1)=O
mh293	CC1CC(C)c2cccc(=O)n2C1
mh294	c-c1ccccc1
mh295	C=C1CCC2CCCCC2C1CCC
mh296	CC12CCCC1C1CCC3=CC(=O)CCC3(C)C1CC2
mh297	C(=O)N1CC2CC(C1)c1cccc(=O)n1C2
mh298	CCCCCC(C)CC(C)CC
mh299	CC1CC(CN)c2cccc(=O)n2C1
mh300	Cc(c)c1ccccc1[nH]
mh301	c1ccc(cc1)CCC(=O)O
mh302	[H]CN([H])C(=O)CO[H]
mh303	Cc1c[nH]cccccc1
mh304	O=CC1CCCCC1
mh305	C1CCCCC1
mh306	O=c1n(CC2CCCN(CO)C2)cccc1
mh307	COC1:C:C:C:C:C:1O
mh308	c(cc)cccOC
mh309	CC12CC=C3C(CCC4CCCCC34C)C1CCC2
mh310	C1:C:C:C2:O:C:C:C:C:2:C:1
mh311	Cc1c[nH]cc1cccc
mh312	CN(CO)CC1CCCn(c1ccc2)c2=O
mh313	C:C:C:C:C1:C:C:C:O:C:1
mh314	CNC(=O)CO
mh315	CCCCCO
mh316	CCC1:C:N:C2:C:C:C:C:C:1:2
mh317	NC(c1ccccc1)CO
mh318	O=CC(N)Cc1ccccc1
mh319	C:C:CC(=O)O
mh320	CC:C:C(=O):O:C1:C:C:C:C(:C:1)OCC(O)=NCC
mh321	Cc1ccccc1C
mh322	C(Cc1c[nH]c(ccc)c1c)C(=O)O
mh323	NC(Cc1ccccc1)CO
mh324	CC1CCCC(O)C1
mh325	CCNC(C)=O
mh326	COCCCCCO
mh327	CCCCCCCC(=O)O
mh328	CC1CCCCC1
mh329	c1c[nH]c(c)c1cc(O)c
mh330	CC(C)CNC=O
mh331	CC(C)(C)C=O
mh332	O=CN1CC2CC(C1)c3ccccn3C2
mh333	OCC(=O)N1CC2CC(C1)c(cc)n(C2)c(=O)c
mh334	C1CCC(CC1)C(=O)O
mh335	CCCC(=O)O
mh336	C(=O)C(Cc1c[nH]c2ccccc12)N=CO
mh337	CC(=O)C1C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C
mh338	OCC(O)=NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
mh339	c1ccc(O)cc1
mh340	C(O)=NC(Cc(c[nH])c1cc(O)ccc1)C(=O)O
mh341	C(O)=Nc1ccccc1
mh342	C1CCC2=CC(=O)C=CC2(C)C1
mh343	CC1CN(CCc2cccc(=O)n2C1)C(=O)CO
mh344	C(=O)COC=O
mh345	OCC(N1CC2CC(c3n(C2)cccc3)C1)=O
mh346	CC(O)CCCC=O
mh347	Cc1ccccc1
mh348	NCC(O)CO
mh349	CC1(O)CCCCC1
mh350	CCC(CCCC)C(=O)O
mh351	NC1CCCC(O)C1
mh352	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(CCC12)C(=O)CO
mh353	O=CCCCC=O
mh354	CC1CCC(O)C1
mh355	NC(C(O)=O)Cc1ccccc1
mh356	NC(C(O)=O)Cc(c)c(cc(O)cc1)c1[nH]
mh357	CCNC(=O)CC
mh358	CCOC(=O)CC
mh359	Cn1c(cccc1=O)C1CCCN(C1)C(=O)CO
mh360	CCCCC=CC(=O)O
mh361	CC(O)CCCCO
mh362	OCN1CC2CC(c(n(C2)c=O)ccc)C1
mh363	CC(O)=NCC1CCC(CC1)C(=O)O
mh364	c1c[nH]c(cc)c1ccO
mh365	OCC(O)=NCCc1ccccc1
mh366	CC(O)=NC(CO)Cc1ccccc1
mh367	c1c[nH]c(cc)c1cc
mh368	c1oc(=O)cc(C)c1
mh369	COC1:C:C(C):C:C(O):C:1
mh370	Cc1c[nH]c2ccc(O)cc12
mh371	CC1C=CCCCC(C)CCC1
mh372	C(O)=NCCc1c[nH]c2ccccc12
mh373	OCC(O)=NC(Cc1ccccc1)C(=O)O
mh374	C(=O)N1CC2CC(C1)c(cc)n(C2)c(=O)c
mh375	C:C:C:C:C:C:C:CC1:C:C:C:C:C:1
mh376	CC(=O)N1CCCn2c(cccc2=O)C(C)C1
mh377	CCNCC(O)CO
mh378	CC(C)CC(=O)O
mh379	C(O)=NC(Cc(c)cccc)C(=O)O
mh380	N1CC2CC(C1)c(cc)n(C2)c(=O)c
mh381	CCCN(C)C
mh382	ccc(Cl)cc
mh383	Ccc1cc(O)ccc1[nH]c
mh384	C(=O)N1CC2CC(C1)c(c)n(C2)c(=O)cc
mh385	OC(=O)c1ccccc1
mh386	C1=CC(=O)CCC1C
mh387	C(Cc1c[nH]c(cccc)c1)C(=O)O
mh388	C1:C:C:C2:N:C:C:C:C:2:C:1
mh389	C(O)=NC(Cc1c[nH]c(cc)c1ccO)C(=O)O
mh390	N=C(O)CCc1c(C)c2cc3c(C)coc3cc2oc1=O
mh391	NCC1CCC(C(O)=O)CC1
mh392	CC(N)CCCCO
mh393	CN(C)CC=O
mh394	NCC(O)=NC(C(O)=O)Cc1ccccc1
mh395	OC=NC(CO)Cc(c[nH]1)c2c1ccc(O)c2
mh396	OC1CCC(Cl)CC1
mh397	ccc1c(c(CCC(O)=O)c[nH]1)cc
mh398	C(O)=NC(Ccc[nH]c1ccc(O)cc1)C(=O)O
mh399	[H]C(=O)COC([H])=O
mh400	Ccccc(Cl)cc
mh401	C(=O)CCc1ccccc1
mh402	O=CC(N)Cc(c[nH]1)c2c1ccc(O)c2
mh403	COC1:C:C:C:C:C:1
mh404	CC(=O)N1CCCC(C1)Cn1ccccc1=O
mh405	NC(C(O)=O)Cc(c)cccc
mh406	OCC1CCNCC1
mh407	Cn1c(cccc1=O)C1CCCN(C1)C(O)=N
mh408	NC(C(O)=O)Cc(c[nH]c1cccO)c1c
mh409	CCCCCOC=O
mh410	c(c)c1cc(O)ccc1[nH]
mh411	CCCCCCCCC(=O)O
mh412	CC(O)=NC(Cc(c)cccc)C(=O)O
mh413	C(Ccc1ccccc1[nH]c)C(=O)O
mh414	CCC(C)(C)O
mh415	c1ccc(Cc2ccccc2)cc1
mh416	CC12CCCC1C1CCC3CC(O)CCC3(C)C1CC2
mh417	NC(C(O)=O)Cc1c2ccccc2[nH]c1
mh418	CCC(=O)CC
mh419	CC1CC=CCCC(C)CCC1
mh420	C(=O)C(Cc1ccccc1)N=CO
mh421	Cc(c)ccc(Cl)c
mh422	CCCC(C)C
mh423	OC=NC(c1ccccc1)CO
mh424	CCCCCN
mh425	CC(C)CCO
mh426	cc1OC(C)(C)CCc1
mh427	F
mh428	C(O)=NC(Cc1c[nH]cc1cc(O)cc)C(=O)O
mh429	CN(CC1CCCn2c1cccc2=O)C(O)=N
mh430	N=C(O)COc1cc2OC(C)(C)CCc2c2oc(=O)ccc12
mh431	Oc1cc(C)cc2oc(=O)ccc12
mh432	CCCC(O)CO
mh433	C1CCNCC1
mh434	F
mh435	c(C)c(C)c=O
mh436	O=CCCCCO
mh437	CCCc1ccccc1
mh438	Oc1cc2OC(C)(C)CCc2c2oc(=O)cc(C)c12
mh439	O=CN1CCCCC1
mh440	cF
mh441	CC1CCC(C)CC1
mh442	c1c[nH]cccc(O)cc1
mh443	CCCCCCC(=O)O
mh444	CC(O)=NC(Cc1c[nH]c2ccccc12)C(=O)O
mh445	CCCCl
mh446	c(c)ccc(O)c
mh447	OCC(O)=NCC1CCC(CC1)C(=O)O
mh448	CC1CCCCC1O
mh449	CC1:C:C:C:C:C:1N
mh450	c1c[nH]c(cccc)c1
mh451	Cc1c[nH]c(cc)c1ccO
mh452	CC1=CCCCC1
mh453	CCCCOC=O
mh454	CC1CCC2C(CC=C3CCCCC32C)C1
mh455	CC(C)CC(C)(C)C
mh456	CCCCC(=O)O
mh457	NC(C(O)=O)Cc(c[nH]c1c)c1cc(O)c
mh458	COC1:C:C:C:C(:C:1)CCN
mh459	CCCCC1(C)C=CCC(C)C1
mh460	NCCCC=O
mh461	C:C:C(=O):O:C1:C:C:C:C(:C:1)OCC(O)=NC(CC1:C:N:C2:C:C:C:C:C:1:2)C(=O)O
mh462	N=C(O)N1CC2CC(C1)cn(C2)c(=O)ccc
mh463	C(O)=NCCc1c[nH]c2ccc(O)cc12
mh464	C~Cl
mh465	c1ccc2c(C)cc(=O)oc2c1C
mh466	COc1cc2OC(C)(C)CCc2c2oc(=O)ccc12
mh467	OC=NCC1CCC(CO)CC1
mh468	CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C(CCC12)C(=O)CO
mh469	C1:C:C:C:C:C:1
mh470	C(=O)C1CCC(CC1)CN=CO
mh471	C(Ccccccc)C(=O)O
mh472	c1ccc2c(C)cc(=O)oc2c1
